category,brand,product_name,discounted_price,original_price,image_url
fruits vegetables,Fresho,Baby Corn - Peeled,₹324,₹443.84,"https://www.bigbasket.com/media/uploads/p/m/10000322_15-fresho-baby-corn-peeled.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Beans - French, Ring (Loose)",₹148,₹232.88,"https://www.bigbasket.com/media/uploads/p/m/10000042_42-fresho-beans-french-ring.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Apple - Pink Lady,₹199,₹276.71,"https://www.bigbasket.com/media/uploads/p/m/40128384_4-fresho-apple-pink-lady.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Red Delicious, Economy",₹113,₹154.79,"https://www.bigbasket.com/media/uploads/p/m/40075384_12-fresho-apple-red-delicious-economy.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Dates - Kimia, with Seed",₹230,₹315.07,"https://www.bigbasket.com/media/uploads/p/m/20000727_13-fresho-dates-kimia-with-seed.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,"Apple - Red Delicious / Washington, Premium",₹352.01,₹482.2,"https://www.bigbasket.com/media/uploads/p/m/1203780_1-fresho-apple-red-delicious-washington-premium.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Frozen Sweet Corn,₹149,₹200,"https://www.bigbasket.com/media/uploads/p/m/40208830_10-fresho-frozen-sweet-corn.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Ladies' Fingers - Organically Grown (Loose),₹19.5,₹31.51,"https://www.bigbasket.com/media/uploads/p/m/40023470_5-fresho-ladies-finger-organically-grown.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Mosambi (Loose),₹71.5,₹108.22,"https://www.bigbasket.com/media/uploads/p/m/10000191_19-fresho-mosambi.jpg?tr=w-3840,q=80"
fruits vegetables,Fresho,Yam - Diced,₹48.91,₹67,"https://www.bigbasket.com/media/uploads/p/m/40005846_6-fresho-yam-diced.jpg?tr=w-3840,q=80"
